County Number,County Name,ESC Region Served,ESC Region PEIMS,ESC Region Geographic,District Number,District Name,District Type,NCES District ID,District Street Address,District City,District State,District Zip,District Site Street Address,District Site City,District Site State,District Site Zip,District Phone,District Fax,District Email Address,District Web Page Address,District Superintendent,District Enrollment as of Oct 2022,School Number,School Name,Instruction Type,Charter Type,AEA,Magnet Status,Residential Facility,NCES School ID,School Street Address,School City,School State,School Zip,School Site Street Address,School Site City,School Site State,School Site Zip,School Phone,School Fax,School Email Address,School Web Page Address,School Principal,Grade Range,School Enrollment as of Oct 2022,School Status,School Status Date,Update Date
'003,ANGELINA COUNTY,'07,'07,'07,'003904,HUNTINGTON ISD,INDEPENDENT,'4824000,P O BOX 328,HUNTINGTON,TX,75949-0328,908 MAIN ST,HUNTINGTON,TX,75949-0328,(936) 876-4287,(936) 876-3212,dflowers@huntingtonisd.com,www.huntingtonisd.com,MR DAVID W FLOWERS   ,1593,'003904001,HUNTINGTON H S,REGULAR INSTRUCTIONAL,,N,N,N,'482400002654,P O BOX 328,HUNTINGTON,TX,75949-0328,1105 N 5TH ST,HUNTINGTON,TX,75949,(936) 876-4150,(936) 876-4009,dflowers@huntingtonisd.com,www.huntingtonisd.com,MR CHRISTOPHER SHANE STOVER   ,'09-12,499,Active, ,8/8/23 5:37
'003,ANGELINA COUNTY,'07,'07,'07,'003905,DIBOLL ISD,INDEPENDENT,'4817040,P O BOX 550,DIBOLL,TX,75941-0550,215 N TEMPLE BLVD,DIBOLL,TX,75941-0550,(936) 829-4718,(936) 829-5558,bbowman@dibollisd.org,www.dibollisd.com,MR BRIAN BOWMAN   ,1669,'003905001,DIBOLL H S,REGULAR INSTRUCTIONAL,,N,N,N,'481704001475,1000 LUMBERJACK DR,DIBOLL,TX,75941-2102,1000 LUMBERJACK DR,DIBOLL,TX,75941-2102,(936) 829-5626,(936) 829-5708,jclements@dibollisd.org,,MRS SHEILA STEPHENS   ,'09-12,521,Active, ,8/8/23 5:37
'003,ANGELINA COUNTY,'07,'07,'07,'003906,ZAVALLA ISD,INDEPENDENT,'4846740,431 E MAIN ST,ZAVALLA,TX,75980-0045,431 E MAIN ST,ZAVALLA,TX,75980-0045,(936) 897-2271,(936) 897-2674,zcrawford@zavallaisd.org,www.zavallaisd.org,MR ZACHARY CRAWFORD   ,323,'003906001,ZAVALLA H S,REGULAR INSTRUCTIONAL,,N,N,N,'484674005354,431 E MAIN ST,ZAVALLA,TX,75980-0045,431 E MAIN ST,ZAVALLA,TX,75980-0045,(936) 897-2301,(936) 897-2674,roliver@zavallaisd.org,,MR LARRY GLEN VAUGHAN   ,'06-12,160,Active, ,8/8/23 5:37
'003,ANGELINA COUNTY,'07,'07,'07,'003907,CENTRAL ISD,INDEPENDENT,'4813500,7622 US HWY 69 N,POLLOK,TX,75969-9710,7622 US HWY 69 N,POLLOK,TX,75969-9710,(936) 853-2216,(936) 853-2215,risnerj@centralisd.com,www.centralisd.com/,JUSTIN RISNER   ,1463,'003907001,CENTRAL H S,REGULAR INSTRUCTIONAL,,N,N,N,'481350000846,7622 US HWY 69 N,POLLOK,TX,75969-9710,7622 US HWY 69 N,POLLOK,TX,75969-9710,(936) 853-2167,(936) 853-2208,musgrover@centralisd.com,www.centralisd.com,BRYAN FINCH   ,'09-12,385,Active, ,8/8/23 5:37
'004,ARANSAS COUNTY,'02,'02,'02,'004901,ROCKPORT-FULTON ISD,INDEPENDENT,'4808550,P O BOX 907,ROCKPORT,TX,78381-0907,619 N LIVE OAK ST,ROCKPORT,TX,78382,(361) 790-2212,(361) 790-2299,clowery@rfisd.us,www.acisd.org,DR CLARK ALAN LOWERY JR   ,3044,'004901001,ROCKPORT-FULTON H S,REGULAR INSTRUCTIONAL,,N,N,N,'480855000222,P O BOX 907,ROCKPORT,TX,78381-0907,1801 OMOHUNDRO,ROCKPORT,TX,78382-3217,(361) 790-2220,(361) 790-2206,abible@rfisd.us,www.rfisd.us,MRS ASHLEIGH RENEA BIBLE   ,'09-12,951,Active, ,8/8/23 5:37
'005,ARCHER COUNTY,'09,'09,'09,'005901,ARCHER CITY ISD,INDEPENDENT,'4808610,P O BOX 926,ARCHER CITY,TX,76351-0926,600 S ASH,ARCHER CITY,TX,76351-0926,(940) 574-4536 ext:1010,(940) 574-4051,cknobloch@archercityisd.net,www.archercityisd.net,MR CD KNOBLOCH   ,493,'005901001,ARCHER CITY H S,REGULAR INSTRUCTIONAL,,N,N,N,'480861000229,P O BOX 926,ARCHER CITY,TX,76351-0926,600 S ASH ST,ARCHER CITY,TX,76351-0926,(940) 574-4713,(940) 574-4051,jsherrill@archercityisd.net,www.archercityisd.net/,DR JOHN SHERRILL   ,'07-12,206,Active, ,8/8/23 5:37
'005,ARCHER COUNTY,'09,'09,'09,'005902,HOLLIDAY ISD,INDEPENDENT,'4823400,P O BOX 689,HOLLIDAY,TX,76366-0689,751 COLLEGE AVE,HOLLIDAY,TX,76366-0689,(940) 586-1281,(940) 586-1492,cody.carroll@hollidayisd.net,www.hollidayisd.net,MR CODY CARROLL   ,1137,'005902001,HOLLIDAY H S,REGULAR INSTRUCTIONAL,,N,N,N,'482340002375,P O BOX 947,HOLLIDAY,TX,76366-0689,751 COLLEGE AVE,HOLLIDAY,TX,76366-0689,(940) 586-1624,(940) 586-9501,bruce.patterson@hollidayisd.net,www.hollidayisd.net,MR BRUCE PATTERSON   ,'09-12,352,Active, ,8/8/23 5:37
'005,ARCHER COUNTY,'09,'09,'09,'005904,WINDTHORST ISD,INDEPENDENT,'4846080,P O BOX 190,WINDTHORST,TX,76389-0190,100 ST MARY'S,WINDTHORST,TX,76389-0190,(940) 423-6688,(940) 423-6505,jason.nolan@windthorstisd.net,www.windthorstisd.net,JASON NOLAN   ,527,'005904001,WINDTHORST H S,REGULAR INSTRUCTIONAL,,N,N,N,'484608005265,P O BOX 190,WINDTHORST,TX,76389-0190,100 ST MARYS DR,WINDTHORST,TX,76389-0190,(940) 423-6680,(940) 423-6505,jennifer.forsythe@windthorstisd.net,www.windthorstisd.net,JENNIFER FORSYTHE   ,'09-12,141,Active, ,8/8/23 5:37
'006,ARMSTRONG COUNTY,'16,'16,'16,'006902,CLAUDE ISD,INDEPENDENT,'4814250,P O BOX 209,CLAUDE,TX,79019-0209,500 5TH ST,CLAUDE,TX,79019,(806) 226-7331 ext:1302,(806) 226-2244,greg.brown@claudeisd.net,www.claudeisd.net,GREG BROWN   ,328,'006902001,CLAUDE SCHOOLS,REGULAR INSTRUCTIONAL,,N,N,N,'481425000900,P O BOX 209,CLAUDE,TX,79019-0209,500 W 5 ST,CLAUDE,TX,79019,(806) 226-2191,(806) 226-2244,brandon.holland@claudeisd.net,www.claudeisd.net,KENDRA SHERRILL   MR BRANDON HOLLAND   ,'EE-12,328,Active,7/20/80,8/8/23 5:37
'007,ATASCOSA COUNTY,'20,'20,'20,'007901,CHARLOTTE ISD,INDEPENDENT,'4813710,P O BOX 489,CHARLOTTE,TX,78011-0489,102 E HINDES,CHARLOTTE,TX,78011-0489,(830) 277-1431 ext:1000,(830) 277-1551,rsolis@charlotteisd.org,www.charlotteisd.net,MR ROGER SOLIS   ,433,'007901001,CHARLOTTE H S,REGULAR INSTRUCTIONAL,,N,N,N,'481371000863,P O BOX 489,CHARLOTTE,TX,78011-0489,70 TROJAN DR,CHARLOTTE,TX,78011-0489,(830) 277-1432,(830) 277-1605,rsolis@charlotteisd.org,www.charlotteisd.net,MS SANDRA NIX   ,'09-12,130,Active, ,8/8/23 5:37
'007,ATASCOSA COUNTY,'20,'20,'20,'007902,JOURDANTON ISD,INDEPENDENT,'4824960,200 ZANDERSON AVE,JOURDANTON,TX,78026-3045,200 ZANDERSON AVE,JOURDANTON,TX,78026-3045,(830) 769-3548 ext:5411,(830) 376-5052,tcanter@jisdtx.us,www.jourdantonisd.net,DR TRACY CANTER   ,1590,'007902001,JOURDANTON H S,REGULAR INSTRUCTIONAL,,N,N,N,'482496002785,200 ZANDERSON AVE,JOURDANTON,TX,78026-3045,200 ZANDERSON AVE,JOURDANTON,TX,78026-3045,(830) 769-2350,(830) 376-5076,pbauerle@jisdtx.us,www.jourdantonisd.net,MS PEPPER JO BAUERLE   ,'09-12,442,Active, ,8/8/23 5:37
'007,ATASCOSA COUNTY,'20,'20,'20,'007904,LYTLE ISD,INDEPENDENT,'4828650,P O BOX 745,LYTLE,TX,78052-0745,15437 COTTAGE ST,LYTLE,TX,78052-0745,(830) 709-5100,(830) 709-5104,michelle.smith@lytleisd.org,www.lytleisd.org/,MRS MICHELLE CARROLL SMITH   ,1810,'007904001,LYTLE H S,REGULAR INSTRUCTIONAL,,N,N,N,'482865003246,P O BOX 190,LYTLE,TX,78052-0190,18975 W FM 2790 S,LYTLE,TX,78052-0190,(830) 709-5105,(830) 709-5107,,,MRS ELIZABETH STEWART   ,'09-12,487,Active, ,8/8/23 5:37
'007,ATASCOSA COUNTY,'20,'20,'20,'007905,PLEASANTON ISD,INDEPENDENT,'4835190,831 STADIUM DR,PLEASANTON,TX,78064-2499,831 STADIUM DR,PLEASANTON,TX,78064-2499,(830) 569-1200 ext:1241,(830) 569-2171,cdbarron@pisd.us,www.pisd.us,MS CHERYL BARRON   ,3384,'007905001,PLEASANTON H S,REGULAR INSTRUCTIONAL,,N,N,N,'483519003984,831 STADIUM DR,PLEASANTON,TX,78064-2499,1100 W ADAMS ST,PLEASANTON,TX,78064-3708,(830) 569-1250,(830) 569-1292,tmguajardo@pisd.us,www.pisd.us,MRS TWILA GUAJARDO   ,'09-12,944,Active, ,8/8/23 5:37
'007,ATASCOSA COUNTY,'20,'20,'20,'007906,POTEET ISD,INDEPENDENT,'4835520,P O BOX 138,POTEET,TX,78065-0138,1100 SCHOOL DR,POTEET,TX,78065-0138,(830) 742-3567,(830) 742-3332,cwcamarillo@poteetisd.org,www.poteetisd.org,CHARLES WILLIAM CAMARILLO   ,1837,'007906001,POTEET H S,REGULAR INSTRUCTIONAL,,N,N,N,'483552004029,P O BOX 138,POTEET,TX,78065-0138,1020 FM 1470,POTEET,TX,78065-0138,(830) 742-3522,(830) 742-8497,cgillespie@poteetisd.org,www.poteetisd.org,CHRISTINA M GILLESPIE   ,'09-12,508,Active, ,8/8/23 5:37
'008,AUSTIN COUNTY,'06,'06,'06,'008901,BELLVILLE ISD,INDEPENDENT,'4809810,518 S MATHEWS,BELLVILLE,TX,77418-2711,518 S MATHEWS,BELLVILLE,TX,77418-2711,(979) 865-3133,(979) 865-8591,npoenitzsch@bellvillebrahmas.org,www.bellvilleisd.org,DR NICOLE POENITZSCH   ,2251,'008901001,BELLVILLE H S,REGULAR INSTRUCTIONAL,,N,N,N,'480981000449,518 S MATHEWS,BELLVILLE,TX,77418-1599,850 SCHUMANN RD,BELLVILLE,TX,77418-1599,(979) 865-3681,(979) 865-7080,cholloman@bellvilleisd.org,www.bellvilleisd.org,MR JAMES DRISTAS   ,'09-12,698,Active, ,8/8/23 5:37
'008,AUSTIN COUNTY,'06,'06,'06,'008902,SEALY ISD,INDEPENDENT,'4839630,939 TIGER LN,SEALY,TX,77474-3211,939 TIGER LN,SEALY,TX,77474-3211,(979) 885-3516,(979) 885-6457,bhallmark@sealyisd.com,www.sealyisd.com,DR BRYAN HALLMARK   ,2908,'008902001,SEALY H S,REGULAR INSTRUCTIONAL,,N,N,N,'483963004502,2372 CHAMPIONSHIP DR,SEALY,TX,77474-3211,2372 CHAMPIONSHIP DR,SEALY,TX,77474-3211,(979) 885-3515,(979) 885-3398,information@sealyisd.com,shs.sealyisd.com,MS MEGAN OLIVER   ,'09-12,903,Active, ,8/8/23 5:37
'008,AUSTIN COUNTY,'06,'06,'06,'008903,BRAZOS ISD,INDEPENDENT,'4844470,P O BOX 819,WALLIS,TX,77485-0819,227 EDUCATOR LN,WALLIS,TX,77485-0819,(979) 478-6551,(979) 478-2300,srogers@brazosisd.net,www.brazosisd.net,MR SCOTT ROGERS   ,851,'008903001,BRAZOS H S,REGULAR INSTRUCTIONAL,,N,N,N,'484447005075,P O BOX 458,WALLIS,TX,77485-0458,16621 HWY 36 S,WALLIS,TX,77485-0458,(979) 478-6832,(979) 478-2300,ecormier@brazosisd.net,www.brazosisd.net,MR ERIC CORMIER   ,'09-12,287,Active, ,8/8/23 5:37
'009,BAILEY COUNTY,'17,'17,'17,'009901,MULESHOE ISD,INDEPENDENT,'4831890,514 W AVE G,MULESHOE,TX,79347-3499,514 W AVE G,MULESHOE,TX,79347-3499,(806) 272-7404,(806) 272-4120,rlrichards@muleshoeisd.net,www.muleshoeisd.net,DR RL RICHARDS   ,1347,'009901001,MULESHOE H S,REGULAR INSTRUCTIONAL,,N,N,N,'483189003547,514 W AVE G,MULESHOE,TX,79347-3499,800 W 3RD,MULESHOE,TX,79347-3499,(806) 272-7303,(806) 272-7574,misd@muleshoeisd.net,,MRS CINDY BESSIRE   ,'09-12,359,Active, ,8/8/23 5:37
'010,BANDERA COUNTY,'20,'20,'20,'010901,MEDINA ISD,INDEPENDENT,'4830030,P O BOX 1470,MEDINA,TX,78055-1470,ONE BOBCAT LN,MEDINA,TX,78055-1470,(830) 589-2855,(830) 589-7150,lindsey.kunz@medinaisd.org,www.medinaisd.org,MRS LINDSEY KUNZ   ,246,'010901001,MEDINA SCHOOL,REGULAR INSTRUCTIONAL,,N,N,N,'483003003372,P O BOX 1470,MEDINA,TX,78055-1470,ONE BOBCAT LN,MEDINA,TX,78055-1470,(830) 589-2851,(830) 589-7150,lindsey.kunz@medinaisd.org,www.medinaisd.org,GARY OLIVER   MELISSA DUNBAR   ,'EE-12,246,Active, ,8/8/23 5:37
'010,BANDERA COUNTY,'20,'20,'20,'010902,BANDERA ISD,INDEPENDENT,'4809360,P O BOX 727,BANDERA,TX,78003-0727,815 PECAN ST,BANDERA,TX,78003,(830) 460-3890 ext:2005,(830) 460-3851,gbitzkie@banderaisd.net,www.banderaisd.net,MR GARY L BITZKIE   ,2381,'010902001,BANDERA H S,REGULAR INSTRUCTIONAL,,N,N,N,'480936000395,P O BOX 727,BANDERA,TX,78003-0727,474 OLD SAN ANTONIO HWY,BANDERA,TX,78003-0727,(830) 460-3898,(830) 460-3876,kvogel@banderaisd.net,banderaisd.net,DR KENNETH VOGEL   ,'09-12,713,Active, ,8/8/23 5:37
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,TX,78602-3310,906 FARM ST,BASTROP,TX,78602-3310,(512) 772-7100,(512) 321-7469,nrodea@bisdtx.org,www.bisdtx.org,MR BARRY EDWARDS   ,12506,'011901001,BASTROP H S,REGULAR INSTRUCTIONAL,,N,N,N,'480957000409,1614 CHAMBERS ST,BASTROP,TX,78602-3717,1614 CHAMBERS ST,BASTROP,TX,78602-3717,(512) 772-7200,(512) 772-7920,KGABRIEL@BISDTX.ORG,www.bisdtx.org,KRYSTAL GABRIEL   ,'09-12,1621,Active, ,8/8/23 5:37
'011,BASTROP COUNTY,'13,'13,'13,'011902,ELGIN ISD,INDEPENDENT,'4818360,P O BOX 351,ELGIN,TX,78621-0351,1002 N AVE C,ELGIN,TX,78621-2515,(512) 281-3434,(512) 285-9935,jana.rueter@elginisd.net,www.elginisd.net,DR JANA RUETER   ,5404,'011902001,ELGIN H S,REGULAR INSTRUCTIONAL,,N,N,N,'481836001728,14000 COUNTY LINE RD,ELGIN,TX,78621-2515,14000 COUNTY LINE RD,ELGIN,TX,78621-2515,(512) 281-3438,(512) 281-9804,ricardoreyes@elginisd.net,www.elginisd.net,DR JASON RODMAN   ,'09-12,1672,Active, ,8/8/23 5:37
'011,BASTROP COUNTY,'13,'13,'13,'011904,SMITHVILLE ISD,INDEPENDENT,'4840550,P O BOX 479,SMITHVILLE,TX,78957-0479,901 NE 6TH ST,SMITHVILLE,TX,78957,(512) 237-2487,(512) 237-2775,sisdcommunications@smithvilleisd.org,www.smithvilleisd.org,MRS CHERYL BURNS   ,1885,'011904002,SMITHVILLE H S,REGULAR INSTRUCTIONAL,,N,N,N,'484055004590,P O BOX 479,SMITHVILLE,TX,78957-0479,285 HWY 95,SMITHVILLE,TX,78957-0479,(512) 237-2451,(866) 289-8681,tcopeland@smithvilleisd.org,www.smithvilleisd.org,MR TUCKER COPELAND   ,'09-12,575,Active, ,8/8/23 5:37
'011,BASTROP COUNTY,'13,'13,'13,'011905,MCDADE ISD,INDEPENDENT,'4829760,P O BOX 400,MCDADE,TX,78650-0400,156 MARLIN ST,MCDADE,TX,78650-0400,(512) 273-2522 ext:1308,(512) 273-2101,heather.stidham@mcdadeisd.net,www.mcdadeisd.com,HEATHER STIDHAM   ,356,'011905001,MCDADE H S,REGULAR INSTRUCTIONAL,,N,N,N,'482976013256,P O BOX 400,MCDADE,TX,78650-0400,156 MARLIN ST,MCDADE,TX,78650-0400,(512) 273-2522,(512) 273-2101,heather.stidham@mcdadeisd.net,mcdadeisd.com,GINA SANDERS   ,'07-12,155,Active,7/12/16,8/8/23 5:37
'012,BAYLOR COUNTY,'09,'09,'09,'012901,SEYMOUR ISD,INDEPENDENT,'4839780,409 W IDAHO ST,SEYMOUR,TX,76380-1650,409 W IDAHO ST,SEYMOUR,TX,76380-1650,(940) 889-3525,(940) 889-5340,john.anderson@seymour-isd.net,www.seymour-isd.net,MR JOHN ANDERSON   ,644,'012901001,SEYMOUR H S,REGULAR INSTRUCTIONAL,,N,N,N,'483978004520,409 W IDAHO ST,SEYMOUR,TX,76380-1650,300 STADIUM DR,SEYMOUR,TX,76380-1939,(940) 889-2947,(940) 889-1045,adam.arrendendo@seymour-isd.net,www.seymour-isd.net/,MR ADAM ARRENDENDO   ,'09-12,177,Active,9/1/78,8/8/23 5:37
'013,BEE COUNTY,'02,'02,'02,'013801,ST MARY'S ACADEMY CHARTER SCHOOL,CHARTER,'4800177,507 N FILMORE,BEEVILLE,TX,78102,507 N FILMORE,BEEVILLE,TX,78102,(361) 358-5601,(361) 358-5704,ssimonson@smacs.net,www.smacs.net,MR MERLE SIMONSON   ,381,'013801101,ST MARY'S ACADEMY CHARTER SCHOOL,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,N,N,N,'480017708427,P O BOX 279,BEEVILLE,TX,78102,410 N TYLER ST,BEEVILLE,TX,78102,(361) 358-5601 ext:1080,(361) 358-5704,helizondo@smacs.net,smacs.net/,MS HIRMA ELIZONDO   ,'KG-08,381,Active,6/5/01,8/8/23 5:37
'013,BEE COUNTY,'02,'02,'02,'013901,BEEVILLE ISD,INDEPENDENT,'4809720,201 N SAINT MARY'S ST,BEEVILLE,TX,78102-4606,201 N SAINT MARY'S ST,BEEVILLE,TX,78102-4606,(361) 358-7111,(361) 358-7837,tfanning@beevilleisd.net,www.beevilleisd.net/,TRAVIS FANNING   ,3097,'013901001,A C JONES H S,REGULAR INSTRUCTIONAL,,N,N,N,'480972000442,1902 N ADAMS,BEEVILLE,TX,78102-2796,1902 N ADAMS,BEEVILLE,TX,78102-2796,(361) 362-6000,(361) 362-6012,aewing@beevilleisd.net,beevilleisd.net,MR GUADALUPE MARTINEZ   ,'09-12,1041,Active, ,8/8/23 5:37
